route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding
2,1,4838262,Grand Central Terminal - Mt Vernon West,379,0,,14,1
2,1,4838261,Grand Central Terminal - Crestwood,371,0,,14,1
2,1,4838260,Grand Central Terminal - North White Plains,351,0,,14,1
2,1,4838259,Crestwood - Grand Central Terminal,336,1,,3,1
2,1,4838257,Grand Central Terminal - Brewster,659,0,,14,1
2,1,4838256,Grand Central Terminal - Southeast,639,0,,14,1
1,1,4838255,Croton Harmon - Grand Central Terminal,788,1,,1,1
2,1,4838251,North White Plains - Grand Central Terminal,300,1,,3,1
2,1,4838249,Southeast - Grand Central Terminal,600,1,,3,1
2,1,4838248,Grand Central Terminal - North White Plains,597,0,,14,1
2,1,4838234,North White Plains - Grand Central Terminal,564,1,,3,1
2,1,4838219,Southeast - Grand Central Terminal,676,1,,3,1
2,1,4838213,Mount Kisco - Grand Central Terminal,646,1,,3,1
2,1,4838212,Grand Central Terminal - Southeast,645,0,,14,1
2,1,4838211,Grand Central Terminal - Southeast,641,0,,14,1
2,1,4838204,Grand Central Terminal - Southeast,619,0,,14,1
2,1,4838203,Southeast - Grand Central Terminal,612,1,,3,1
2,1,4838188,North White Plains - Grand Central Terminal,590,1,,3,1
2,1,4838182,Grand Central Terminal - North White Plains,575,0,,14,1
1,1,4838393,Irvington - Grand Central Terminal,426,1,,1,1
2,1,4838160,Crestwood - Grand Central Terminal,524,1,,3,1
2,1,4838116,Crestwood - Grand Central Terminal,338,1,,3,1
2,1,4838113,Grand Central Terminal - North White Plains,519,0,,14,1
2,1,4838111,North White Plains - Grand Central Terminal,516,1,,3,1
2,1,4838095,Grand Central Terminal - North White Plains,569,0,,14,1
2,1,4838030,Hartsdale - Grand Central Terminal,526,1,,3,1
1,1,4838016,Croton Harmon - Grand Central Terminal,722,1,,1,1
1,1,4838012,Grand Central Terminal - Croton Harmon,771,0,,12,1
2,1,4838003,Grand Central Terminal - Crestwood,367,0,,14,1
2,1,4838002,Grand Central Terminal - Crestwood,357,0,,14,1
2,1,4837993,Hartsdale - Grand Central Terminal,518,1,,3,1
2,1,4837978,Grand Central Terminal - North White Plains,583,0,,14,1
2,1,4837932,Grand Central Terminal - North White Plains,573,0,,14,1
2,1,4837915,Grand Central Terminal - North White Plains,543,0,,14,1
2,1,4837909,North White Plains - Grand Central Terminal,528,1,,3,1
1,1,4837901,Grand Central Terminal - Croton Harmon,759,0,,12,1
1,1,4838864,Croton Harmon - Grand Central Terminal,706,1,,1,1
2,1,4838858,Grand Central Terminal - North White Plains,521,0,,14,1
2,1,4838846,Grand Central Terminal - North White Plains,579,0,,14,1
2,1,4838803,Grand Central Terminal - North White Plains,577,0,,14,1
2,1,4838795,North White Plains - Grand Central Terminal,572,1,,3,1
2,1,4838793,Grand Central Terminal - North White Plains,561,0,,14,1
2,1,4838779,North White Plains - Grand Central Terminal,544,1,,3,1
2,1,4838736,Grand Central Terminal - Brewster,667,0,,14,1
2,1,4838732,Crestwood - Grand Central Terminal,330,1,,3,1
2,1,4838718,Grand Central Terminal - North White Plains,581,0,,14,1
2,1,4838707,North White Plains - Grand Central Terminal,570,1,,3,1
2,1,4838684,Southeast - Grand Central Terminal,622,1,,3,1
2,1,4838610,Grand Central Terminal - Crestwood,363,0,,14,1
2,1,4838600,Grand Central Terminal - North White Plains,565,0,,14,1
2,1,4838551,North White Plains - Grand Central Terminal,542,1,,3,1
1,1,4838533,Grand Central Terminal - Croton Harmon,761,0,,12,1
1,1,4838525,Grand Central Terminal - Croton Harmon,751,0,,12,1
2,1,4838513,Grand Central Terminal - Southeast,661,0,,14,1
2,1,4838508,Crestwood - Grand Central Terminal,308,1,,3,1
2,1,4838414,North White Plains - Grand Central Terminal,500,1,,3,1
1,1,4838404,Croton Harmon - Grand Central Terminal,716,1,,1,1
2,1,4838287,North White Plains - Grand Central Terminal,514,1,,3,1
2,1,4838250,Southeast - Grand Central Terminal,624,1,,3,1
3,1,4838367,New Haven - Grand Central Terminal,1559,1,,5,1
3,1,4838362,New Haven - Grand Central Terminal,1529,1,,5,1
3,1,4838361,Grand Central Terminal - New Haven,1522,0,,16,1
3,1,4838353,New Haven - Grand Central Terminal,1509,1,,5,1
3,1,4838352,New Haven - Grand Central Terminal,1507,1,,5,1
3,1,4838180,Grand Central Terminal - Harrison,1254,0,,16,1
3,1,4838179,Harrison - Grand Central Terminal,1231,1,,5,1
3,1,4838177,Grand Central Terminal - Stamford,1368,0,,16,1
3,1,4838168,Stamford - Grand Central Terminal,1353,1,,5,1
4,1,4838167,Stamford - New Canaan,1726,0,,19,1
3,1,4838158,Grand Central Terminal - New Haven,1584,0,,16,1
3,1,4838150,Grand Central Terminal - New Haven,1576,0,,16,1
3,1,4838084,Grand Central Terminal - New Haven,1534,0,,16,1
4,1,4838080,New Canaan - Stamford,1795,1,,8,1
3,1,4838075,Grand Central Terminal - New Haven,1502,0,,16,1
3,1,4838071,Stamford - Grand Central Terminal,1331,1,,5,1
3,1,4838070,Grand Central Terminal - South Norwalk,1458,0,,16,1
3,1,4838069,Bridgeport - Grand Central Terminal,1451,1,,5,1
3,1,4838063,New Rochelle - Grand Central Terminal,1313,1,,5,1
3,1,4838062,Stamford - Grand Central Terminal,1411,1,,5,1
3,1,4838052,Grand Central Terminal - Stamford,1384,0,,16,1
3,1,4838046,New Rochelle - Grand Central Terminal,1225,1,,5,1
4,1,4838032,New Canaan - Stamford,1767,1,,8,1
4,1,4838031,New Canaan - Stamford,1763,1,,8,1
4,1,4838027,New Canaan - Stamford,1751,1,,8,1
3,1,4838020,New Haven - Grand Central Terminal,1521,1,,5,1
3,1,4837971,Grand Central Terminal - New Haven,1554,0,,16,1
3,1,4837970,Grand Central Terminal - New Haven,1548,0,,16,1
3,1,4837968,Grand Central Terminal - New Haven,1542,0,,16,1
3,1,4837959,New Haven - Grand Central Terminal,1513,1,,5,1
3,1,4837940,Stamford - Grand Central Terminal,1303,1,,5,1
3,1,4837937,Grand Central Terminal - Harrison,1270,0,,16,1
3,1,4837936,Stamford - Grand Central Terminal,1383,1,,5,1
3,1,4837929,Grand Central Terminal - Old Greenwich,1362,0,,16,1
4,1,4837921,Stamford - New Canaan,1722,0,,19,1
4,1,4837910,New Canaan - Grand Central Terminal,1775,1,,8,1
4,1,4837902,Grand Central Terminal - New Canaan,1750,0,,19,1
3,1,4838836,New Haven - Grand Central Terminal,1541,1,,5,1
4,1,4838824,Stamford - New Canaan,1798,0,,19,1
3,1,4838811,Stamford - Grand Central Terminal,1469,1,,5,1
3,1,4838810,Grand Central Terminal - South Norwalk,1464,0,,16,1
3,1,4838807,Harrison - Grand Central Terminal,1327,1,,5,1
3,1,4838802,Grand Central Terminal - Stamford,1308,0,,16,1
3,1,4838800,Grand Central Terminal - Stamford,1302,0,,16,1
3,1,4838798,Stamford - Grand Central Terminal,1389,1,,5,1
